Иванов И.С., СДЮСШОР2
Петров А.А., СДЮСШОР2
Алиев И.С., СДЮСШОР2
Гаврилов А.А., СДЮСШОР2
Борцов И.С., СДЮСШОР2
Букин А.А., СДЮСШОР2
Шорохов И.С., СДЮСШОР2
Кан А.А., СДЮСШОР2
Дюков К.Т., Заводоуковск
Аджиев К.Т., Заводоуковск
Романов К.Т., Заводоуковск
Топов К.Т., Заводоуковск
Алишев К.С., Тобольск
Джобс К.С., Тобольск
Лаков К.С., Тобольск
Чадов К.С., Тобольск
Кошкин А.А., Мытищи
Филиппов А.А., Мытищи
Филов А.А., Мытищи
Молов А.А., Мытищи
Молотов В.В., Омск
Резин А.С., Омск
Колосов В.В., Омск
Козлов А.С., Омск
Косолапов В.В., Омск
Купцов А.С., Омск
Разин В.В., Омск
Последний А.С., Омск
