Кошкин А.А., Мытищи
Дюков К.Т., Заводоуковск
Алишев К.С., Тобольск
Молотов В.В., Омск
Иванов И.С., СДЮСШОР2
Филиппов А.А., Мытищи
Аджиев К.Т., Заводоуковск
Джобс К.С., Тобольск
Резин А.С., Омск
Петров А.А., СДЮСШОР2
Филов А.А., Мытищи
Романов К.Т., Заводоуковск
Лаков К.С., Тобольск
Колосов В.В., Омск
Алиев И.С., СДЮСШОР2
Молов А.А., Мытищи
Топов К.Т., Заводоуковск
Чадов К.С., Тобольск
Козлов А.С., Омск
Гаврилов А.А., СДЮСШОР2
Косолапов В.В., Омск
Борцов И.С., СДЮСШОР2
Купцов А.С., Омск
Букин А.А., СДЮСШОР2
Разин В.В., Омск
Шорохов И.С., СДЮСШОР2
Последний А.С., Омск
Кан А.А., СДЮСШОР2
